公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
成都西山居互动娱乐科技有限公司珠海分公司,西山居游戏,2000人以上,不需要融资,高新区,数据分析（实习生） (MJ000482),在校/应届,本科,2k-4k,扁平化管理 丰富的企业文化活动,游戏,开发|测试|运维类,"['带薪年假', '年度旅游', '节日礼物', '大牛多多']",数据开发,成都
成都西山居互动娱乐科技有限公司珠海分公司,西山居游戏,2000人以上,不需要融资,香洲区,数据分析实习生 (MJ000445),在校/应届,本科,2k-4k,丰富的企业文化活动 免费一次三餐,游戏,开发|测试|运维类,"['带薪年假', '年度旅游', '节日礼物', '大牛多多']",数据开发,珠海
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,舆情数据分析实习生,不限,本科,3k-4k,纽交所市值三百亿美金龙头/大平台/起点高,教育,运营|编辑|客服类,"['上市公司', '领军企业', '五险一金', '住福计划']",编辑,北京
AINVEST LLC,AINVEST,15-50人,A轮,海淀区,数据分析实习,在校/应届,本科,5k-10k,"绩效,发展潜力大,可转正","金融,人工智能",开发|测试|运维类,"['股票期权', '绩效奖金', '带薪年假', '午餐补助']",数据开发,北京
杭州览众数据科技有限公司,览众数据,150-500人,B轮,滨江区,业务与数据分析师实习生（每周至少实习3天以上）,在校/应届,本科,3k-5k,大牛带队，团队氛围给力,"人工智能,数据服务",产品|需求|项目类,"['技能培训', '股票期权', '带薪年假', '绩效奖金']",产品经理,杭州
北京易观智库网络科技有限公司,易观,150-500人,B轮,朝阳区,数据分析实习生,在校/应届,本科,2k-3k,岗位晋升 六险一金 弹性工作,"移动互联网,数据服务",产品|需求|项目类,"['专项奖金', '午餐补助', '技能培训', '扁平管理']",数据分析,北京
北京美至网络科技有限公司,美至科技,50-150人,A轮,黄浦区,实习数据分析师,不限,本科,3k-6k,五险一金、餐饮补贴、交通补贴、年终奖金,"移动互联网,消费生活",开发|测试|运维类,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",数据开发,上海
北京天泽智云科技有限公司,天泽智云,50-150人,A轮,海淀区,数据分析师-实习,在校/应届,硕士,4k-5k,优秀者可转全职，实践工业智能,企业服务,开发|测试|运维类,"['领导好', '技能培训', '扁平管理', '交通补助']",数据开发,北京
北京天泽智云科技有限公司,天泽智云,50-150人,A轮,静安区,数据分析师-实习,在校/应届,硕士,4k-5k,优秀者可转全职，实践工业智能,企业服务,开发|测试|运维类,"['领导好', '技能培训', '扁平管理', '交通补助']",数据开发,上海
北京捷泰天域信息技术有限公司,捷泰天域,50-150人,不需要融资,锦江区,数据分析工程师（实习生）,在校/应届,硕士,2k-3k,实习中真正收获实操技能，同专业大牛学习,"数据服务,软件开发",开发|测试|运维类,[],数据开发,成都
雪球（北京）技术开发有限公司,雪球,150-500人,D轮及以上,朝阳区,数据分析实习生,在校/应届,本科,2k-4k,平台好 待遇好 空间大,金融,产品|需求|项目类,"['股票期权', '带薪年假', '年度旅游', '定期体检']",产品经理,北京
上海商帆信息科技有限公司,商帆,150-500人,B轮,徐汇区,实习生-商业数据分析,在校/应届,本科,3k-6k,发展前景 优秀可转正式员工,移动互联网,开发|测试|运维类,"['股票期权', '弹性工作', '帅哥多', '节日礼物']",数据开发,上海
重庆道微投资管理有限公司,重庆道微投资,15-50人,不需要融资,渝北区,数据分析师实习生,不限,本科,2k-3k,"弹性工作,扁平化管理",金融,金融类,"['专项奖金', '弹性工作', '节日礼物', '领导好']",互联网金融,重庆
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,数据分析实习生,不限,本科,3k-5k,公司福利多,文娱丨内容,开发|测试|运维类,"['专项奖金', '带薪年假', '弹性工作', '管理规范']",数据开发,上海
昆仑智汇数据科技（北京）有限公司,K2DATA,150-500人,B轮,海淀区,数据分析实习生（北京）,在校/应届,硕士,3k-6k,"行业风口,大牛带路,扁平化,环境好",数据服务,开发|测试|运维类,"['风口行业', '顶尖团队', '扁平管理', '学习型组织']",数据开发,北京
